Frame Number,Timecode,adaptive_ratio (w=2),content_val,delta_edges,delta_hue,delta_lum,delta_sat
2,00:00:00.033,None,3.0732612885897557,7.034316048914589,4.151151767940089,2.1366480235093372,2.931984074319841
3,00:00:00.067,1.3456045957867617,3.2677267987486966,6.47229595222296,4.569627452839132,2.1824343539672006,3.0511185894397572
4,00:00:00.100,0.9902347676386412,3.2102331974594747,7.282088349606598,4.447246184472462,2.1599677694568205,3.023485638449142
5,00:00:00.133,1.050750768735644,3.430285651088571,6.5810740354535975,4.90937529623661,2.20926154137833,3.1722201156507728
6,00:00:00.167,0.9557359284990893,3.1962903276771892,7.711157455683003,4.291733813631624,2.2100436060290076,3.0870935633709355
7,00:00:00.200,1.0028958839586288,3.3841675356273897,7.185396720068253,4.738814105602427,2.240638923120675,3.173049578159067
8,00:00:00.233,0.9926492730843873,3.3526084620975127,7.7715897241444685,4.648615982557589,2.2342639112712104,3.1749454924637406
9,00:00:00.267,1.0513175489470585,3.5183982683982684,7.384823205991089,5.087567541947104,2.2695990141245614,3.1980282491231398
10,00:00:00.300,1.010521166959019,3.410884128037413,7.650725187221537,4.845103801308181,2.212982273201251,3.174566309602806
11,00:00:00.333,0.9597588044622578,3.238964198818213,6.121788795146459,4.472011565077259,2.1932647644326475,3.051616266944734
12,00:00:00.367,1.0411797409813026,3.3915142035579993,6.043226846146554,4.874253483742534,2.1890700540335577,3.1112190728979052
13,00:00:00.400,0.9589665055804171,3.1782791417827916,6.992013460991563,4.300597213005972,2.1861076879325054,3.0481325244098967
14,00:00:00.434,0.9650365470181943,3.201377697728063,6.339344961607735,4.324201346099156,2.1948525926628117,3.0850791544222202
15,00:00:00.467,1.0725487673957246,3.4252456788953136,5.813584225992985,4.939472935823301,2.2070338420703384,3.1292302587923024
16,00:00:00.500,1.0168297388759489,3.274417796315607,7.318347710683477,4.52635320883496,2.185467816854678,3.111432363257181
17,00:00:00.534,0.9636832201337655,3.120153569058678,7.469428381837141,4.1614371030429425,2.1748980946061236,3.0241255095269692
18,00:00:00.567,0.9921886038895678,3.134112238126837,8.236918191297754,4.21314816570291,2.166982652384112,3.0222058962934875
19,00:00:00.600,0.9849830135317624,3.117175403671754,7.324390937529624,4.15473030619016,2.1803251493032514,3.0164707555218504
20,00:00:00.634,0.9825854110103941,3.123400322305432,7.34856384491421,4.135676367428192,2.189212247606408,3.045312351881695
21,00:00:00.667,1.0359455280091787,3.281132492811325,7.31230448383733,4.553867665181534,2.204355863114987,3.0851739501374538
22,00:00:00.700,0.9847423355732912,3.182608146111795,10.237226277372264,4.2991041804910415,2.203170916674566,3.045549341169779
23,00:00:00.734,0.9998692060564288,3.2459474831737603,6.526684993838279,4.458076594937909,2.214735993933074,3.0650298606502986
24,00:00:00.767,1.0145132565903905,3.2771984706291275,5.589984832685563,4.536235662148071,2.1989762062754763,3.0963835434638356
25,00:00:00.800,0.9762428811835061,3.244549246374064,6.073442980377287,4.51931462697886,2.17570385818561,3.0386292539577213
26,00:00:00.834,0.9656786445486557,3.2481593831958797,6.484382405915253,4.484595696274528,2.1744241160299556,3.0854583372831548
27,00:00:00.867,1.0594206772030481,3.5227193730843367,7.686984548298417,5.2236704900938475,2.1878140108067115,3.1566736183524506
28,00:00:00.900,1.010850073678399,3.4099440705280117,6.562944354915158,4.962318703194615,2.1662479855910513,3.1012655227983696
29,00:00:00.934,0.7839607484692434,3.3978971150504003,8.853327329604701,4.915608114513224,2.1692103516921035,3.1088728789458715
30,00:00:00.967,0.7692841302040088,3.3245963282459634,6.45416627168452,4.693738743008816,2.174969191392549,3.105081050336525
31,00:00:01.000,2.1113772589106343,7.079817992226752,7.547990330837046,13.01796378803678,2.7428903213574745,5.478599867285999
32,00:00:01.034,0.8073704702709041,3.39904256327614,6.061356526684994,4.914399469143994,2.201677884159636,3.081050336524789
33,00:00:01.067,0.7860084303725466,3.2911650393402216,6.460209498530666,4.667053749170537,2.1910607640534647,3.0153806047966634
34,00:00:01.101,0.9736424514116206,3.1444844693019878,6.2063939709925116,4.290714759692862,2.1921035169210352,2.950635131292066
35,00:00:01.134,0.9888997200559889,3.1254068316112114,6.466252725376813,4.196867001611527,2.2010143141530003,2.9783391790691063
36,00:00:01.167,0.9922207247773516,3.102821752456789,6.43603659114608,4.181960375391032,2.180064461086359,2.9464404208929755
37,00:00:01.201,0.9959160910070345,3.1034853224634245,5.305953170916674,4.155915252630581,2.18513603185136,2.9694046829083325
38,00:00:01.234,0.9936047246676872,3.135218188137896,6.677765664991942,4.246776945682055,2.173333965304768,2.985543653426865
39,00:00:01.267,0.9852056045802274,3.101399816728284,5.686676462223907,4.174116029955446,2.128306000568774,3.0017774196606313
40,00:00:01.301,1.0593143085131904,3.3138844124245583,5.1730021803014505,4.764503744430752,2.1464593800360223,3.030690112806901
41,00:00:01.334,0.9426816046259486,3.0393007236072926,6.375604322684615,4.017063228742061,2.133733055265902,2.967105886813916
42,00:00:01.367,1.0066882710533767,3.2374000695168577,6.550857901222865,4.615769267229121,2.142880841785951,2.953550099535501
43,00:00:01.401,1.0226526416459434,3.243719783865769,6.967840553606977,4.520878756280216,2.1632619205611907,3.047018674755901
44,00:00:01.434,1.004548184704034,3.266660346952318,6.64754953076121,4.623352924447815,2.1532135747464216,3.0234145416627167
45,00:00:01.467,0.9562470605830721,3.1441131860839886,7.71720068252915,4.265807185515214,2.1400132714001328,3.0265191013366195
46,00:00:01.501,1.0497401405735602,3.382247922393908,6.049270072992701,4.8638970518532565,2.1677410181059815,3.1151056972224858
47,00:00:01.534,1.0015475348073957,3.259258381521155,6.170134609915632,4.594132145227036,2.1290169684330267,3.0546260309034032
48,00:00:01.567,0.9754975534672037,3.217911650393402,6.605246942838184,4.475898189401839,2.1488292729168643,3.0290074888615033
49,00:00:01.601,1.0064929306623032,3.2726166777261665,6.575030808607451,4.590482510190539,2.158688027301166,3.068679495686795
50,00:00:01.634,0.9985525923503784,3.2808323063797515,6.8409327898378995,4.6697791259835055,2.149895724713243,3.0228220684425064
51,00:00:01.667,0.9857274972684277,3.248017189623029,6.949710873068537,4.545952222959523,2.1410086264100863,3.0570907194994787
52,00:00:01.701,1.0436712980764864,3.4038060479666323,7.686984548298417,4.97378898473789,2.135249786709641,3.102379372452365
53,00:00:01.734,0.9706203351745312,3.2229279236578505,6.375604322684615,4.506967485069675,2.1086358896577875,3.0531803962460895
54,00:00:01.767,0.9913695894982305,3.293732423294467,5.269693809839795,4.662906436629064,2.1166461275950326,3.101644705659304
55,00:00:01.801,1.0134374737549339,3.336374695863747,6.62941985022277,4.74864916105792,2.1380225613802257,3.122452365153095
56,00:00:01.834,0.9938301142582362,3.3265159414794456,6.62941985022277,4.7271779315574936,2.140937529623661,3.111432363257181
57,00:00:01.868,0.9972678615108438,3.3253704932537054,6.853019243530192,4.709877713527349,2.1493980472082663,3.1168357190255
58,00:00:01.901,0.8070667388432008,3.4331927196890697,8.400085316143711,5.009242582235283,2.1568869087117264,3.133448668120201
59,00:00:01.934,0.7504617489036892,3.2418396688469677,7.9710162100673045,4.492677030998199,2.154090435112333,3.0787515404303725
60,00:00:01.968,2.0913410850465395,7.12193098871931,8.394042089297564,13.157763769077638,2.6904682908332544,5.517560906247038
61,00:00:02.001,0.7964807131137869,3.398679179701078,5.614157740070149,4.9448288937340035,2.1572423926438526,3.0939662527253766
62,00:00:02.034,0.8438853685688922,3.548037728694663,6.5025120864536925,5.393710304294246,2.160749834107498,3.0896530476822446
63,00:00:02.068,0.9493204919113533,3.15667361835245,6.526684993838279,4.389942174613707,2.1172386008152433,2.9628400796284007
64,00:00:02.101,0.9599432046281468,3.1403450564034507,7.566120011375486,4.300502417290739,2.127997914494265,2.992534837425348
65,00:00:02.134,1.0119530088361846,3.2137090403513757,7.3969096596833825,4.511114797611148,2.127950516636648,3.0020618068063323
66,00:00:02.168,0.9905814217803387,3.1671248459569625,7.342520618068063,4.361953739690966,2.104512276045123,3.0349085221347996
67,00:00:02.201,1.0108979732728438,3.238853603817107,6.562944354915158,4.574533131102474,2.1063370935633707,3.0356905867854773
68,00:00:02.234,1.0032832660065418,3.1960454387461685,6.43603659114608,4.447791259835055,2.1138496539956395,3.0264954024078112
69,00:00:02.268,1.016219780001884,3.23886940310298,7.795762631529055,4.569674850696749,2.1167409233102665,3.0301924353019243
70,00:00:02.301,0.9558775759208347,3.097497393117831,6.738197933453408,4.178903213574746,2.1052469428381837,3.008342022940563
71,00:00:02.334,0.9898064365558251,3.2163001232344297,6.738197933453408,4.477959996208171,2.1186131386861313,3.0523272348089865
72,00:00:02.368,1.0248677015777992,3.3106850570354216,7.384823205991089,4.734524599488103,2.112972793629728,3.084557777988435
73,00:00:02.401,1.0184559437503415,3.3506414510064144,8.110010427528676,4.891174518911745,2.0971419091857046,3.0636079249217936
74,00:00:02.434,0.9784462223487915,3.256975384712611,6.9194947388378045,4.597592188833064,2.112759503270452,3.060574462034316
75,00:00:02.468,0.9258329641140525,3.3757307169715927,8.043534932221064,4.854061996397763,2.1474310361171676,3.125699118399848
76,00:00:02.501,0.7711137583000836,3.277830442064019,7.886411034221253,4.606455588207413,2.133282775618542,3.093752962366101
77,00:00:02.534,0.9531637314549687,4.69917369734888,7.282088349606598,6.91506303915063,3.6370746042278888,3.54538344866812
78,00:00:02.568,0.8740646811614009,5.671216860997883,8.690160204758746,9.18963882832496,3.333870509052991,4.490141245615698
79,00:00:02.601,0.7581179755491007,7.39554302145543,9.989453976680254,10.927741966063135,4.751990710019907,6.506896388283249
80,00:00:02.635,0.8685542015933473,10.580758049736152,24.402550004739787,17.761778367617783,6.484216513413593,7.496279268177078
81,00:00:02.668,1.6051789746261822,18.06939046355105,45.43297942932979,28.7621101526211,13.518816949473884,11.927244288558157
82,00:00:02.701,1.5132965191295404,17.591991341991342,25.86501090150725,27.0960043606029,14.422196416721965,11.25777324864916
83,00:00:02.735,0.7543999935739502,9.459435333522926,17.192980377286947,9.821073087496446,10.98623092236231,7.57100199071002
84,00:00:02.768,0.872045241956656,8.3902028628306,17.084202294056308,8.851526211015262,9.259337377950517,7.059744999526021
85,00:00:02.801,0.8604496634636395,6.104488577116314,13.446179732676082,5.059152526305811,7.79867759977249,5.455635605270642
86,00:00:02.835,0.9197868982653955,5.329257117578286,14.552090245520903,4.602545264954024,6.82744809934591,4.557777988434923
87,00:00:02.868,1.0957046150260437,5.199236894492369,14.896554175751255,4.486183524504693,6.020144089487155,5.091383069485259
88,00:00:02.901,0.6492622254495857,3.4821231080355166,10.327874680064461,2.464143520712864,4.5824959711821025,3.399729832211584
89,00:00:02.935,0.8492161637017753,4.064563781717066,11.186012892217272,3.017987486965589,4.958882358517395,4.216821499668215
90,00:00:02.968,1.8831194741601593,6.859741839668847,11.264574841217177,7.664517963788037,5.745094321736658,7.169613233481846
91,00:00:03.001,0.7967957845337135,3.603911903181976,10.309744999526021,2.345222295952223,4.777893639207508,3.688619774386198
92,00:00:03.035,0.7702820261478605,3.420418997061333,8.974191866527633,1.9817044269599013,4.704853540619964,3.574699023604133
93,00:00:03.068,1.0515106392293494,3.7472983221158405,9.6449900464499,2.57609726040383,4.879609441653237,3.786188264290454
94,00:00:03.101,0.9867336623850433,3.5509526969380985,9.983410749834107,2.1493506493506493,4.818561001042753,3.684946440420893
95,00:00:03.135,1.015879489483464,3.679629980724871,9.983410749834107,2.5135320883496064,4.773248649161058,3.7521092046639493
96,00:00:03.168,0.9812865644033361,3.54742945618858,9.46973646791165,2.154659209403735,4.812873258128732,3.674755901033273
97,00:00:03.201,0.9908006338463192,3.6427702467848455,10.140534647833919,2.47843397478434,4.799009384775808,3.650867380794388
98,00:00:03.235,0.976603684306746,3.5869671690839575,10.96241349890985,2.1898047208266185,4.885510474926534,3.6855863114987204
99,00:00:03.268,1.0701021781610538,3.892343666066294,12.66056024267703,2.7777514456346575,4.901199165797706,3.9980803867665182
100,00:00:03.302,0.9719688004446441,3.6090545707334023,10.533344392833444,2.40039340221822,4.709830315669731,3.716939994312257
101,00:00:03.335,1.0001575648144996,3.7106360792492183,11.512347141909185,2.489999052042848,4.849322210636079,3.792586975068727
102,00:00:03.368,1.0070712325404851,3.662606250197491,10.249312731064556,2.3349843587069863,4.876907763769077,3.7759266281164092
103,00:00:03.402,1.00337485466456,3.6762015356905864,11.602995544601384,2.4410133661958477,4.821357474642146,3.7662337662337664
104,00:00:03.435,0.9592923054109256,3.551663664802351,11.536520049293772,2.1818181818181817,4.797753341548962,3.675419471039909
105,00:00:03.468,1.0153033279672339,3.7304404840901193,9.034624134989098,2.545999620817139,4.85920466394919,3.786117167504029
106,00:00:03.502,1.0222555676702687,3.7402676399026764,10.623992795525643,2.6034221253199354,4.87207318229216,3.7453076120959334
107,00:00:03.535,1.0119805412683336,3.728718361930041,10.605863114987203,2.6133045786330458,4.787491705374917,3.7853588017821593
108,00:00:03.568,0.9881749899044286,3.6245299712452996,10.865721869371505,2.4731017158024455,4.6688311688311686,3.7316570291022844
109,00:00:03.602,0.993710231055815,3.6430625335734823,8.569295667835814,2.462389799981041,4.786354156792113,3.6804436439472936
110,00:00:03.635,0.9670449948331754,3.55956330773849,9.300526116219547,2.299293771921509,4.7577258507915445,3.621670300502417
111,00:00:03.668,1.0202501338640995,3.7516747243024615,9.802113944449712,2.663380415205233,4.766233766233766,3.8254099914683857
112,00:00:03.702,0.9984211596545076,3.7041978702562646,10.57564698075647,2.6206986444212723,4.715020381078776,3.7768745852687458
113,00:00:03.735,0.8680275004328504,3.8020191487344768,10.388306948525926,2.815717129585743,4.734785287704995,3.855555028912693
114,00:00:03.768,0.8439606792449793,3.7269646411982182,10.134491420987771,2.650132714001327,4.737889847378899,3.792871362214428
115,00:00:03.802,1.6776649042927998,6.337433248017189,13.863162385060196,3.8930704332164185,8.656389231206749,6.462840079628401
116,00:00:03.835,0.8758682170858512,3.8205122128479787,9.802113944449712,2.7842212531993553,4.821712958574272,3.85560242677031
117,00:00:03.868,0.8617625682117898,3.760632919392043,11.41565551237084,2.717911650393402,4.793108351502512,3.770878756280216
118,00:00:03.902,0.9762805819450574,3.6228552469428386,11.010759313679022,2.4637880367807377,4.72871836193004,3.6760593421177363
119,00:00:03.935,0.8622203316239173,3.674740101747401,11.536520049293772,2.6482131007678453,4.677765664991942,3.6982415394824155
120,00:00:03.968,0.8392647016020723,3.587614939804721,9.832330078680444,2.448336335197649,4.640345056403451,3.674163427813063
